COLEGIO_NAME,DONE
CP INF-PRI HENARES,0
CP INF-PRI JARAMA,0
CP INF-PRI MIGUEL DE CERVANTES,0
CP INF-PRI PABLO PICASSO,0
IES LOS OLIVOS,0
IES MIGUEL DELIBES,0
CP INF-PRI CLAUDIO VAZQUEZ,0
SIES SECCION DEL IES ANSELMO LORENZO,0
CP INF-PRI-SEC JUAN DE GOYENECHE,0
CP INF-PRI C.R.A. VEGA DE TAJUÑA,0
CP INF-PRI ANDREA CASAMAYOR,0
CP INF-PRI LAS NAVAS DE TOLOSA,0
CP INF-PRI VIRGEN DE LA RIBERA FUND.,0
CEPA PARACUELLOS DEL JARAMA,0
IES ADOLFO SUAREZ,0
CP INF-PRI NUESTRA SEÑORA DEL,0
CP INF-PRI SAN PEDRO APOSTOL,0
EEI GRIMM,0
CP INF-PRI DULCE CHACON,0
CP INF-PRI EL OLIVAR,0
CP INF-PRI EL PARQUE,0
CP INF-PRI HANS CHRISTIAN ANDERSEN,0
CP INF-PRI HISPANIDAD,0
CP INF-PRI JARAMA,0
CP INF-PRI JOSE HIERRO,0
CP INF-PRI JOSE ITURZAETA,0
CP INF-PRI JOSE SARAMAGO,0
CP INF-PRI LA ESCUELA,0
CP INF-PRI LAS CIGÜEÑAS,0
CP INF-PRI LOS ALMENDROS,0
CP INF-PRI MARIO BENEDETTI,0
CP INF-PRI RAFAEL ALBERTI,0
CP INF-PRI VICTORIA KENT,0
CEPA RIVAS-VACIAMADRID,0
IES ANTARES,0
IES DUQUE DE RIVAS,0
IES EUROPA,0
IES LAS LAGUNAS,0
IES PROFESOR JULIO PEREZ,0
CP INF-PRI-SEC LA LUNA,0
EOEP GENERAL EQUIPO GENERAL RIVAS-,0
EEI EL TAMBOR,0
CP INF-PRI CIUDADES UNIDAS,0
CP INF-PRI EL JARAMA,0
CP INF-PRI EL OLIVAR,0
CP INF-PRI ENRIQUE TIERNO GALVAN,0
CP INF-PRI GUERNICA,0
CP INF-PRI MIGUEL HERNANDEZ,0
CP INF-PRI VILLAR PALASI,0
CEPA SAN FERNANDO DE HENARES,0
IES JAIME FERRAN CLUA,0
IES REY FERNANDO VI,0
IES VEGA DEL JARAMA,0
EOEP ATEN-TEMPR EQUIPO ATENCION,0
CP INF-PRI CLARA CAMPOAMOR,0
CP INF-PRI JORGE GUILLEN,0
